_id,authors,name,link,sale_coast,old_coast,rating
5ecebb00f2c954e59741e6e1,"[""Пантелеев Евгений Рафаилович""]", Методы научных исследований в программной инженерии,https://www.labirint.ru/books/669705/,839,1049,0
5ecebb00f2c954e59741e6e2,"[""Симонова Елена Витальевна""]", Структуры данных в C#. Линейные и нелинейные динамические структуры. Учебное пособие,https://www.labirint.ru/books/669707/,1216,1520,0
5ecebb00f2c954e59741e6e3,"[""Старолетов Сергей Михайлович""]", Основы тестирования и верификации программного обеспечения,https://www.labirint.ru/books/669708/,2386,2982,0
5ecebb01f2c954e59741e6e4,"[""Дадян Эдуард Григорьевич""]"," Конфигурирование и моделирование в системе ""1С",https://www.labirint.ru/books/669929/,2945,3681,1
5ecebb01f2c954e59741e6e5,"[""Винарский Яков Самуилович"",""Гутгарц Римма Давыдовна""]"," Web-аппликации в интернет-маркетинге. Проектирование, создание и применение. Практическое пособие",https://www.labirint.ru/books/674453/,1784,2230,0
5ecebb01f2c954e59741e6e6,"[""Борзунов Сергей Викторович"",""Кургалин Сергей Дмитриевич""]", Суперкомпьютерные вычисления,https://www.labirint.ru/books/674694/,626,782,8.5
5ecebb01f2c954e59741e6e7,"[""Ехлаков Юрий Поликарпович""]"," Управление программными проектами. Стандарты, модели",https://www.labirint.ru/books/676121/,1559,1949,0
5ecebb01f2c954e59741e6e8,"[""Затонский Андрей Владимирович"",""Тугашова Лариса Геннадьевна""]", Моделирование объектов управления в MatLab. Учебное пособие,https://www.labirint.ru/books/676122/,1431,1789,0
5ecebb01f2c954e59741e6e9,"[""Дьяконов Владимир Павлович""]", Mathematica 5/6/7. Полное руководство,https://www.labirint.ru/books/676763/,1468,1835,0
5ecebb01f2c954e59741e6ea,"[""Миллер Джеймс""]", Внедрение Splunk 7,https://www.labirint.ru/books/678477/,2121,2651,3.14
5ecebb02f2c954e59741e6eb,"[""Дадян Эдуард Григорьевич""]"," Разработка бизнес-приложений на платформе ""1С",https://www.labirint.ru/books/681095/,2033,2541,1
5ecebb02f2c954e59741e6ec,"[""Кангин Владимир Венедиктович"",""Ямолдинов Дмитрий Николаевич"",""Кангин Михаил Владимирович""]", Разработка SCADA-систем. Учебное пособие,https://www.labirint.ru/books/681258/,2042,2553,8.44
5ecebb02f2c954e59741e6ed,"[""Гифт Ной""]", Прагматичный ИИ. Машинное обучение и облачные технологии,https://www.labirint.ru/books/681441/,1226,1572,6
5ecebb02f2c954e59741e6ee,"[""Танг Джефф""]", Умные мобильные проекты с TensorFlow,https://www.labirint.ru/books/682546/,1632,2040,0
5ecebb02f2c954e59741e6ef,"[""Иванов Виктор Эдуардович"",""Чье Ен Ун""]", Разработка АСУТП в среде WinCC. Учебное пособие,https://www.labirint.ru/books/683384/,1861,2326,8.33
5ecebb02f2c954e59741e6f0,"[""Федотов Александр Александрович""]", Прикладная обработка биомедицинских изображений в среде MATLAB. Учебное пособие,https://www.labirint.ru/books/683031/,679,849,0
