,Vacancy,Link,Company,City,Salary_min,Salary_max,Currency
93,Web-программист (удаленно),https://hh.ru/vacancy/36848803?query=python, Welbex ,Москва,30000,,руб.
94,Разработчик Python,https://hh.ru/vacancy/36925446?query=python, КЭЛС-центр ,Москва,,,
95,Data Engineer,https://hh.ru/vacancy/36409905?query=python, BestDoctor ,Москва,160000,200000,руб.
96,Data Engineer,https://hh.ru/vacancy/36766030?query=python, Метр Квадратный ,"Москва, Белорусская",140000,,руб.
97,Разработчик Python,https://hh.ru/vacancy/36933303?query=python, Сбербанк для экспертов ,Москва,,,
98,Golang разработчик (Backend) удаленно,https://hh.ru/vacancy/36631687?query=python,ООО Центр 2М ,Москва,200000,230000,руб.
99,"Fullstack Web Developer (Vue, Python)",https://hh.ru/vacancy/36725871?query=python,ИП Бадаев Марат Ильвединович ,Москва,70000,100000,руб.
100,Python-разработчик,https://hh.ru/vacancy/36487148?query=python, РБК ,"Москва, Калужская",,,
101,Data Scientist (family office),https://hh.ru/vacancy/36697301?query=python, WОRKKI ,Москва,,,
102,"Data Scientist, Дивизион 'Особенные решения'",https://hh.ru/vacancy/36970738?query=python, Сбербанк для экспертов ,Москва,,,
103,Junior Data Scientist,https://hh.ru/vacancy/36926144?query=python, Альфа-Лизинг ,"Москва, Профсоюзная",,,
104,Backend разработчик Python,https://hh.ru/vacancy/36927807?query=python,ООО Аналитические программные решения ,"Москва, Марьина Роща",70000,120000,руб.
105,Backend разработчик Python/Go/Node.JS,https://hh.ru/vacancy/36808412?query=python,АО Институт Оргэнергострой ,Москва,,,
106,Младший аналитик,https://hh.ru/vacancy/36875572?query=python,ООО АйТи Тех ,"Москва, Улица 1905 года",,,
107,Data Analyst (BI),https://hh.ru/vacancy/36841095?query=python, Exness ,Москва,,,
108,Разработчик,https://hh.ru/vacancy/36884395?query=python,ООО Volga Gas ,Москва,,,
109,Data Science,https://hh.ru/vacancy/36729719?query=python,АО Сбербанк Лизинг ,Москва,,,
110,Программист Python (Middle),https://hh.ru/vacancy/36919115?query=python, Открытые Технологии ,Москва,120000,180000,руб.
111,Программист Python/C++,https://hh.ru/vacancy/36630519?query=python,ООО АМИКОН ,"Москва, Южная",100000,150000,руб.
112,Data Scientist / Machine Learning Engineer,https://hh.ru/vacancy/36719518?query=python,ООО АЛИБАБА.КОМ (РУ) ,Москва,,,
113,Программист-разработчик (Backend),https://hh.ru/vacancy/36775990?query=python, INTACT ,Москва,,,
114,Программист Python,https://hh.ru/vacancy/36951366?query=python, Inline Telecom Solutions ,"Москва, Марьина Роща",,,
115,Middle / Senior Python разработчик,https://hh.ru/vacancy/36749189?query=python,ООО Айтаргет ,"Москва, Тульская",,,
116,Разработчик Python (в Управление перспективных технологий),https://hh.ru/vacancy/36661815?query=python," ВСК, САО ",Москва,,,
117,"C# разработчик (начинающий, junior)",https://hh.ru/vacancy/36690625?query=python, Mindbox ,"Москва, Белорусская и еще 1 ",100000,140000,руб.
118,Python developer,https://hh.ru/vacancy/36297018?query=python,ООО Акронис-Инфозащита ,"Москва, Алтуфьево",,,
119,Python-разработчик (Middle),https://hh.ru/vacancy/36806782?query=python, РБК ,"Москва, Калужская",,,
120,Data Scientist,https://hh.ru/vacancy/36951571?query=python,ООО Ростелеком Информационные Технологии ,"Москва, Новокузнецкая",,,
121,Аналитик данных,https://hh.ru/vacancy/35830955?query=python, Европлан ,Москва,,,
122,Backend разработчик Python,https://hh.ru/vacancy/36597368?query=python,ООО Безопасная информационная зона. Направление Кибербезопасность ,"Москва, Комсомольская и еще 2 ",,,
123,Data Engineer,https://hh.ru/vacancy/34870277?query=python,"ПАО «МТС»,IT ","Москва, Технопарк",,,
124,Senior Data Scientist,https://hh.ru/vacancy/35966230?query=python, mfms° ,"Москва, Автозаводская",,,
125,"Data Scientist (NLP, Graph)",https://hh.ru/vacancy/36995580?query=python, Сбербанк для экспертов ,Москва,,,
126,DevOps engineer,https://hh.ru/vacancy/36271219?query=python,ООО КИБЕРТОНИКА ,Москва,140000,180000,руб.
127,Python Developer (Middle),https://hh.ru/vacancy/36959031?query=python, OffersHub,Москва,100000,160000,руб.
128,Backend-разработчик,https://hh.ru/vacancy/35629745?query=python, FunBox ,"Москва, Павелецкая и еще 2 ",90000,,руб.
129,Программист по созданию и ведению обучающего курса по Python,https://hh.ru/vacancy/36906276?query=python," Profi-internet, школа востребованных интернет-профессий ",Москва,150000,,руб.
130,"Старший Python разработчик (Senior Developer, Lead, Архитектор)",https://hh.ru/vacancy/36778033?query=python,ООО PROGNET ,Москва,150000,,руб.
131,"Стажёр (по анализу данных, data science)",https://hh.ru/vacancy/36154902?query=python,ООО САС Институт ,Москва,,,
132,Тестировщик ПО,https://hh.ru/vacancy/35682116?query=python, Comagic ,"Москва, Нахимовский проспект",,,
133,Старший инженер программист Python (back-end),https://hh.ru/vacancy/36679966?query=python,АО РТИ ,Москва,,,
134,Middle Python developer / Speech recognition software engineer,https://hh.ru/vacancy/36954189?query=python,ООО Некс-Т ,"Москва, Текстильщики",170000,200000,руб.
135,Junior / Middle iOS Developer,https://hh.ru/vacancy/36307775?query=python,ООО Claire&Clarté ,Москва,,140000,руб.
